Postnummer,Poststed,Terminal_ID,Kommunenavn,Fylkenavn
0001,OSLO,1,OSLO,OSLO
0010,OSLO,1,OSLO,OSLO
0015,OSLO,1,OSLO,OSLO
0018,OSLO,1,OSLO,OSLO
0021,OSLO,1,OSLO,OSLO
0024,OSLO,1,OSLO,OSLO
0026,OSLO,1,OSLO,OSLO
0028,OSLO,1,OSLO,OSLO
0030,OSLO,1,OSLO,OSLO
0031,OSLO,1,OSLO,OSLO
0032,OSLO,1,OSLO,OSLO
0033,OSLO,1,OSLO,OSLO
0034,OSLO,1,OSLO,OSLO
0037,OSLO,1,OSLO,OSLO
0040,OSLO,1,OSLO,OSLO
0045,OSLO,1,OSLO,OSLO
0046,OSLO,1,OSLO,OSLO
0047,OSLO,1,OSLO,OSLO
0048,OSLO,1,OSLO,OSLO
0050,OSLO,1,OSLO,OSLO
0055,OSLO,1,OSLO,OSLO
0060,OSLO,1,OSLO,OSLO
0081,OSLO,1,OSLO,OSLO
0101,OSLO,1,OSLO,OSLO
0102,OSLO,1,OSLO,OSLO
0103,OSLO,1,OSLO,OSLO
0104,OSLO,1,OSLO,OSLO
0105,OSLO,1,OSLO,OSLO
0106,OSLO,1,OSLO,OSLO
0107,OSLO,1,OSLO,OSLO
0109,OSLO,1,OSLO,OSLO
0110,OSLO,1,OSLO,OSLO
0111,OSLO,1,OSLO,OSLO
0112,OSLO,1,OSLO,OSLO
0113,OSLO,1,OSLO,OSLO
0114,OSLO,1,OSLO,OSLO
0115,OSLO,1,OSLO,OSLO
0116,OSLO,1,OSLO,OSLO
0117,OSLO,1,OSLO,OSLO
0118,OSLO,1,OSLO,OSLO
0119,OSLO,1,OSLO,OSLO
0120,OSLO,1,OSLO,OSLO
0121,OSLO,1,OSLO,OSLO
0122,OSLO,1,OSLO,OSLO
0123,OSLO,1,OSLO,OSLO
0124,OSLO,1,OSLO,OSLO
0125,OSLO,1,OSLO,OSLO
0128,OSLO,1,OSLO,OSLO
0129,OSLO,1,OSLO,OSLO
0130,OSLO,1,OSLO,OSLO
0131,OSLO,1,OSLO,OSLO
0132,OSLO,1,OSLO,OSLO
0133,OSLO,1,OSLO,OSLO
0134,OSLO,1,OSLO,OSLO
0135,OSLO,1,OSLO,OSLO
0136,OSLO,1,OSLO,OSLO
0138,OSLO,1,OSLO,OSLO
0139,OSLO,1,OSLO,OSLO
0140,OSLO,1,OSLO,OSLO
0150,OSLO,1,OSLO,OSLO
0151,OSLO,1,OSLO,OSLO
0152,OSLO,1,OSLO,OSLO
0153,OSLO,1,OSLO,OSLO
0154,OSLO,1,OSLO,OSLO
0155,OSLO,1,OSLO,OSLO
0157,OSLO,1,OSLO,OSLO
0158,OSLO,1,OSLO,OSLO
0159,OSLO,1,OSLO,OSLO
0160,OSLO,1,OSLO,OSLO
0161,OSLO,1,OSLO,OSLO
0162,OSLO,1,OSLO,OSLO
0164,OSLO,1,OSLO,OSLO
0165,OSLO,1,OSLO,OSLO
0166,OSLO,1,OSLO,OSLO
0167,OSLO,1,OSLO,OSLO
0168,OSLO,1,OSLO,OSLO
0169,OSLO,1,OSLO,OSLO
0170,OSLO,1,OSLO,OSLO
0171,OSLO,1,OSLO,OSLO
0172,OSLO,1,OSLO,OSLO
0173,OSLO,1,OSLO,OSLO
0174,OSLO,1,OSLO,OSLO
0175,OSLO,1,OSLO,OSLO
0176,OSLO,1,OSLO,OSLO
0177,OSLO,1,OSLO,OSLO
0178,OSLO,1,OSLO,OSLO
0179,OSLO,1,OSLO,OSLO
0180,OSLO,1,OSLO,OSLO
0181,OSLO,1,OSLO,OSLO
0182,OSLO,1,OSLO,OSLO
0183,OSLO,1,OSLO,OSLO
0184,OSLO,1,OSLO,OSLO
0185,OSLO,1,OSLO,OSLO
0186,OSLO,1,OSLO,OSLO
0187,OSLO,1,OSLO,OSLO
0188,OSLO,1,OSLO,OSLO
0190,OSLO,1,OSLO,OSLO
0191,OSLO,1,OSLO,OSLO
0192,OSLO,1,OSLO,OSLO
0193,OSLO,1,OSLO,OSLO
0194,OSLO,1,OSLO,OSLO
0195,OSLO,1,OSLO,OSLO
0196,OSLO,1,OSLO,OSLO
0198,OSLO,1,OSLO,OSLO
0201,OSLO,1,OSLO,OSLO
0202,OSLO,1,OSLO,OSLO
0203,OSLO,1,OSLO,OSLO
0204,OSLO,1,OSLO,OSLO
